PlayerID,Player,Team,Position,Cost,Selection,Form,Points,Goals,Assists,Minutes,ICT Index,Bonus,Clean Sheets,Dream Team,Goals Conceded,PPG,Saves,Yellow
CresswellWHUDEF,Cresswell,WHU,DEF,5,0.004,0,0,0,0,90,1.1,0,0,0,5,0,0,0
ZabaletaWHUDEF,Zabaleta,WHU,DEF,4.5,0.007,0,0,0,0,0,0,0,0,0,0,0,0,0
ReidWHUDEF,Reid,WHU,DEF,4,0.051,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnsonWHUDEF,Johnson,WHU,DEF,4,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0
NobleWHUMID,Noble,WHU,MID,5,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
DianganaWHUMID,Diangana,WHU,MID,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
ObiangWHUMID,Obiang,WHU,MID,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
ArnautovicWHUFWD,Arnautovic,WHU,FWD,7,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
Xande SilvaWHUFWD,Xande Silva,WHU,FWD,4.5,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0
AjetiWHUFWD,Ajeti,WHU,FWD,6,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
RuddyWOLGKP,Ruddy,WOL,GKP,4.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
NorrisWOLGKP,Norris,WOL,GKP,4,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0
VinagreWOLDEF,Vinagre,WOL,DEF,4.5,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
KilmanWOLDEF,Kilman,WOL,DEF,4,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0
VallejoWOLDEF,Vallejo,WOL,DEF,5,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibbs-WhiteWOLMID,Gibbs-White,WOL,MID,5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
CostaWOLMID,Costa,WOL,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CavaleiroWOLMID,Cavaleiro,WOL,MID,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BalbuenaWHUDEF,Balbuena,WHU,DEF,4.5,0.004,-0.5,-1,0,0,90,0.6,0,0,0,5,0,0,1
AustinSOUFWD,Austin,SOU,FWD,6,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
LongSOUFWD,Long,SOU,FWD,5,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0
GallagherSOUFWD,Gallagher,SOU,FWD,4.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
GazzanigaTOTGKP,Gazzaniga,TOT,GKP,4.5,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0
DaviesTOTDEF,Davies,TOT,DEF,5.5,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0
VertonghenTOTDEF,Vertonghen,TOT,DEF,5.4,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0
