Player,Team,Cost,Selected,Form,Points,PPG,Mins Played,Goals Scored,Own Goals,Assists,Pen Missed,Yellow,Red,Bonus,Influence,Creativity,Threat,ICT Index,Dream Team,Season VL,Form VL
Robertson,LIV,6.7,0.33,3.5,213,5.9,3216,0,0,12,,4,0,906,748.8,767.2,318,183.6,5,31.8,0.5
van Dijk,LIV,6.7,0.323,7,208,5.5,3384,4,0,4,,1,0,932,993.6,111.1,455,156.1,4,31,1
Alexander-Arnold,LIV,5.8,0.269,12.5,185,6.4,2460,1,0,13,,3,0,753,734.4,837.4,276,184.7,8,31.9,2.2
Laporte,MCI,6.3,0.167,10,177,5.1,3056,3,0,3,,3,0,768,790,239.3,278,131.2,3,28.1,1.6
David Luiz,CHE,5.8,0.117,10.5,164,4.6,3238,3,0,2,,3,0,794,859,358.7,363,158,4,28.3,1.8
Alonso,CHE,6.2,0.221,6,161,5.2,2759,2,0,8,,6,0,702,619,520.1,475,161.7,4,26,1
Azpilicueta,CHE,6.4,0.096,6,158,4.2,3402,1,0,6,,4,0,822,815,525.1,286,163.2,2,24.7,0.9
Digne,EVE,5.4,0.102,6,158,4.5,2964,4,1,5,,5,1,736,883,1142,300,232.7,4,29.3,1.1
Walker,MCI,6.4,0.121,4.5,150,4.5,2776,1,0,1,,3,0,684,498.8,448.4,183,113.1,2,23.4,0.7
Pereira,LEI,5.3,0.106,5.5,146,4.2,3123,2,0,8,,7,0,693,889,517.6,430,183.7,5,27.5,1
Doherty,WOL,5.3,0.219,7,144,3.8,3141,4,1,7,,5,0,596,758.8,547.4,711,201.6,4,27.2,1.3
van Aanholt,CRY,5.5,0.057,3.5,140,3.9,3196,3,0,2,,3,0,626,616,520.4,448,158.7,3,25.5,0.6
Keane,EVE,4.8,0.043,3.5,129,3.9,2970,1,0,2,,2,0,642,740.2,101.2,326,117.2,3,26.9,0.7
Coleman,EVE,5.2,0.016,7,125,4.3,2558,2,1,2,,1,0,548,515.2,387.3,274,117.6,3,24,1.3
Aké,BOU,5.1,0.061,7,120,3.2,3411,4,0,1,,3,0,716,1002,125.9,440,156.8,1,23.5,1.4
Wan-Bissaka,CRY,4.6,0.263,2.5,120,3.4,3134,0,0,3,,4,1,672,863.4,266.8,139,127.1,2,26.1,0.5
Boly,WOL,4.7,0.061,3.5,120,3.3,3168,4,0,0,,2,1,635,954.2,146.9,279,137.7,3,25.5,0.7
Chilwell,LEI,5,0.028,4,118,3.3,3240,0,0,5,,4,0,578,721,674.6,298,170,1,23.6,0.8
Trippier,TOT,6,0.152,1,118,4.4,2275,1,1,5,,2,0,573,601.6,827,121,155,3,19.7,0.2
Rüdiger,CHE,5.9,0.029,0,116,3.5,2871,1,0,2,,7,0,609,566.8,143.6,273,98.5,2,19.7,0
Duffy,BHA,4.7,0.081,1,115,3.3,3087,5,0,2,,4,1,582,1024.4,84.1,499,160.9,4,24.5,0.2
Zouma,EVE,5,0.01,4,112,3.5,2613,2,0,2,,3,1,543,565.2,83.7,235,88.8,2,22.4,0.8
Alderweireld,TOT,6,0.037,0.5,107,3.1,2921,0,1,0,,3,0,651,690.2,139.1,229,105.7,1,17.8,0.1
Jonny,WOL,4.3,0.036,4,103,3.1,2772,1,0,3,,6,0,488,523.4,447.3,361,133.3,2,24,0.9
Tarkowski,BUR,4.7,0.042,0,97,2.8,3086,3,0,2,,8,0,524,1023.2,69.8,450,154.5,1,20.6,0
Morrison,CAR,4.7,0.004,3,97,2.9,3039,1,0,4,,6,0,477,673.4,239,580,149.4,1,20.6,0.6
Ecuele Manga,CAR,4.4,0.004,4,97,2.6,3375,0,0,1,,0,0,581,722,105.5,172,100.4,0,22,0.9
Bamba,CAR,4.4,0.015,0,95,3.4,2475,4,0,1,,7,0,459,787,51.4,304,114.2,1,21.6,0
Lascelles,NEW,4.7,0.031,3.5,95,3,2745,0,0,1,,4,0,539,632.4,46.8,113,79.6,1,20.2,0.7
Coady,WOL,4.5,0.009,3.5,94,2.5,3420,0,3,0,,5,0,585,593.2,26.2,0,61.8,1,20.9,0.8
Schär,NEW,4.5,0.013,7.5,93,3.9,2000,4,0,1,,12,0,403,669.4,148.6,220,103.8,3,20.7,1.7
Cathcart,WAT,4.5,0.032,0.5,93,2.6,3095,3,2,0,,2,0,552,719.6,25.5,262,100.8,1,20.7,0.1
Holebas,WAT,4.8,0.079,-1.5,93,3.3,2392,3,0,7,,12,1,437,642.4,598.2,164,140.6,2,19.4,-0.3
Maguire,LEI,5.4,0.083,4.5,92,3,2596,3,0,1,,6,1,533,715.8,165.3,462,134.3,2,17,0.8
Rice,WHU,4.4,0.042,1,92,2.7,3003,2,0,0,,4,0,586,584.4,174.2,213,97.1,2,20.9,0.2
Dunk,BHA,4.4,0.034,0.5,91,2.5,3151,2,0,1,,5,1,573,805.8,132.9,245,118.7,1,20.7,0.1
Schlupp,CRY,4.3,0.025,0,91,3,1660,4,0,3,,1,0,301,385.2,240.5,430,105.7,2,21.2,0
Shaw,MUN,5.1,0.081,1,91,3.1,2591,1,0,5,,11,0,489,586.2,505.6,287,138.1,1,17.8,0.2
Bennett,WOL,4.1,0.08,3,89,2.6,3060,1,0,1,,12,0,467,566.4,237.1,172,86.9,0,21.7,0.8
Sakho,CRY,4.9,0.012,0,88,3.3,2416,0,0,0,,2,0,533,540.6,78.2,47,66.6,0,18,0
Diop,WHU,4.2,0.014,4.5,87,2.6,2970,1,1,0,,4,0,561,733,52.3,162,94.8,1,20.7,1.1
Tomkins,CRY,4.3,0.023,0,86,3,2561,1,0,1,,6,0,504,560.8,83,276,92.3,0,20,0
Rose,TOT,5.8,0.011,1,86,3.3,1792,0,0,4,,5,0,352,343.6,416.6,216,97.6,0,14.8,0.2
Steve Cook,BOU,4.3,0.042,3.5,85,2.7,2786,1,1,1,,3,0,549,731,143.3,292,116.5,1,19.8,0.8
Lindelöf,MUN,4.9,0.052,1,85,2.8,2600,1,1,1,,1,0,527,533,75.3,118,72.8,1,17.3,0.2
Matip,LIV,4.9,0.011,3.5,83,3.8,1535,1,0,0,,3,0,402,414.6,57.9,85,55.9,1,16.9,0.7
Stones,MCI,5.2,0.046,0.5,83,3.5,1761,0,0,0,,1,0,431,376.6,115.5,49,54.1,0,16,0.1
Taylor,BUR,4.4,0.005,1,82,2.2,3240,0,0,1,,2,0,505,649.4,268.5,30,94.9,0,18.6,0.2
