ID,Player,Team,Position,Cost,Selection,Form,Points,Minutes,Goals,Assists,Clean_Sheets,Goals_Conceded,Own_Goals,Pen_Saved,Yellow,Reds,Saves,Bonus,Bonus_Syst,Influence,Creativity,Threat,ICT_Index,Dream_Team,Form_Value,Season_Value,PPG
Carlos SanchezWHUMID,Carlos Sanchez,WHU,MID,4.50,0.0040,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
DianganaWHUMID,Diangana,WHU,MID,4.50,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ObiangWHUMID,Obiang,WHU,MID,4.50,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ArnautovicWHUFWD,Arnautovic,WHU,FWD,7.00,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
Xande SilvaWHUFWD,Xande Silva,WHU,FWD,4.50,0.0240,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
AjetiWHUFWD,Ajeti,WHU,FWD,6.00,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
RuddyWOLGKP,Ruddy,WOL,GKP,4.50,0.0060,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
NorrisWOLGKP,Norris,WOL,GKP,4.00,0.0080,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
VinagreWOLDEF,Vinagre,WOL,DEF,4.50,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
KilmanWOLDEF,Kilman,WOL,DEF,4.00,0.0190,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
VallejoWOLDEF,Vallejo,WOL,DEF,5.00,0.0050,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
Gibbs-WhiteWOLMID,Gibbs-White,WOL,MID,5.00,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
TraoreWOLMID,Traore,WOL,MID,5.00,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
CostaWOLMID,Costa,WOL,MID,5.00,0.0000,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
CavaleiroWOLMID,Cavaleiro,WOL,MID,5.00,0.0000,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
NetoWOLMID,Neto,WOL,MID,5.00,0.0000,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
AlliTOTMID,Alli,TOT,MID,8.50,0.0060,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
WanyamaTOTMID,Wanyama,TOT,MID,5.00,0.0010,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
DierTOTMID,Dier,TOT,MID,5.00,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
AmosTOTMID,Amos,TOT,MID,4.50,0.0000,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
Lo CelsoTOTMID,Lo Celso,TOT,MID,7.50,0.0060,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
SessegnonTOTMID,Sessegnon,TOT,MID,5.50,0.0030,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
JanssenTOTFWD,Janssen,TOT,FWD,4.50,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
ParrottTOTFWD,Parrott,TOT,FWD,4.50,0.0070,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
DahlbergWATGKP,Dahlberg,WAT,GKP,4.50,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
GomesWATGKP,Gomes,WAT,GKP,4.50,0.0020,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.0
